"kode_captcha","pertanyaan","jawaban"
"1","Berapakah 2+7?","9"
"2","Berapakah 3 x 4?","12"
"3","Berapakah 10-7?","3"
"4","Berapakah 11+13?","24"
"5","Berapakah 5+6?","11"
"kode_dosen","id_user","NIP","NIDN","NIDK","nama_lengkap","alamat","nomor_telp","created_at","updated_at"
"1","2","1910012345678901","1111111111","1111111111","Bayley Cooke",NULL,"081256789012","2021-11-24 16:32:59",NULL
"2","3","1910012345678902","1111111113","1111111113","Orson Alvarez",NULL,"081256789014","2021-11-24 16:32:59",NULL
"3","4","1910012345678903","1111111115","1111111115","Neriah Merrill",NULL,"081256789016","2021-11-24 16:32:59",NULL
"4","5","1910012345678904","1111111117","1111111117","Ebony Wooten",NULL,"081256789018","2021-11-24 16:33:00",NULL
"5","6","1910012345678905","1111111119","1111111119","Michalina Fraser",NULL,"081256789020","2021-11-24 16:33:00",NULL
"6","7","1910012345678906","1111111121","1111111121","Aila Parrish",NULL,"081256789022","2021-11-24 16:33:00",NULL
"7","8","1910012345678907","1111111123","1111111123","Elana Charles",NULL,"081256789024","2021-11-24 16:33:00",NULL
"8","9","1910012345678908","1111111125","1111111125","Alannah Herbert",NULL,"081256789026","2021-11-24 16:33:01",NULL
"9","10","1910012345678909","1111111127","1111111127","Fardeen Pate",NULL,"081256789028","2021-11-24 16:33:01",NULL
"10","11","1910012345678910","1111111129","1111111129","Loretta Porter",NULL,"081256789030","2021-11-24 16:33:01",NULL
"11","12","1910012345678911","1111111131","1111111131","Reyansh Barclay",NULL,"081256789032","2021-11-24 16:33:01",NULL
"12","13","1910012345678912","1111111133","1111111133","Jack Serrano",NULL,"081256789034","2021-11-24 16:33:02",NULL
"13","14","1910012345678913","1111111135","1111111135","Naomi Lara",NULL,"081256789036","2021-11-24 16:33:02",NULL
"14","15","1910012345678914","1111111137","1111111137","Beatriz Portillo",NULL,"081256789038","2021-11-24 16:33:02",NULL
"kode_seksi","kode_matkul","semester","hari","jam","deskripsi"
"1912600000","50050001","3","senin","08:00 - 09:00","Ruang 304"
"1912600001","50050001","3","senin","09:00 - 10:00",NULL
"1912600002","50050002","2","selasa","08:00 - 09:00",NULL
"1912600003","50050002","2","selasa","09:00 - 10:00",NULL
"1912600004","50050003","2","selasa","10:00 - 11:00",NULL
"1912600005","50050003","2","selasa","13:00 - 14:00",NULL
"1912600006","50050004","5","rabu","08:00 - 09:45",NULL
"1912600007","50050004","5","rabu","09:45 - 11:45",NULL
"1912600008","50050005","5","rabu","08:00 - 09:00",NULL
"1912600009","50050005","5","kamis","09:00 - 10:00","Ruang 301"
"1912600010","50050006","2","kamis","08:00 - 09:00",NULL
"1912600011","50050006","2","kamis","09:00 - 10:00",NULL
"1912600012","50050007","6","selasa","08:00 - 09:00",NULL
"1912600013","50050007","6","selasa","09:00 - 10:00",NULL
"1912600014","50050008","5","senin","10:00 - 11:00",NULL
"1912600015","50050008","5","senin","13:00 - 14:00",NULL
"1912600016","50050009","2","jumat","08:00 - 09:45",NULL
"1912600017","50050009","2","jumat","09:45 - 11:45",NULL
"1912600018","50050010","3","jumat","08:00 - 09:00",NULL
"1912600019","50050010","3","jumat","09:00 - 10:00",NULL
"1912600020","50050011","3","selasa","08:00 - 09:00",NULL
"1912600021","50050011","3","rabu","09:00 - 10:00",NULL
"1912600022","50050012","4","kamis","08:00 - 09:00",NULL
"1912600023","50050012","4","kamis","09:00 - 10:00",NULL
"1912600024","50050013","8","kamis","10:00 - 11:00",NULL
"1912600025","50050014","8","kamis","13:00 - 14:00",NULL
"1912600026","50050015","8","kamis","08:00 - 09:45","Ruang 208"
"1912600027","50050000","3","jumat","09:00 - 11:00","telat input"
"kode_reset_pw","username","email","status"
"1","User 6","wkrebs@att.net","belum"
"kode_mhs","id_user","NIM","nama_lengkap","alamat","nomor_telp","created_at","updated_at"
"1","16","1912627000","yayayaya","jl.bojong menteng","081288877769","2021-11-24 16:33:40","2022-02-04 15:36:23"
"2","17","1912627001","Manahil Vincent",NULL,"081234567002","2021-11-24 16:33:40",NULL
"3","18","1912627002","Darrell Mccarthy",NULL,"081234567004","2021-11-24 16:33:40",NULL
"4","19","1912627003","Dilara Dudley",NULL,"081234567006","2021-11-24 16:33:40",NULL
"5","20","1912627004","Patrik Miranda",NULL,"081234567008","2021-11-24 16:33:41",NULL
"6","21","1912627005","Farhana Macfarlane",NULL,"081234567010","2021-11-24 16:33:41",NULL
"7","22","1912627006","Scarlet Shaffer",NULL,"081234567012","2021-11-24 16:33:41",NULL
"8","23","1912627007","Freddie Mcfadden",NULL,"081234567014","2021-11-24 16:33:41",NULL
"9","24","1912627008","Braden Nicholson",NULL,"081234567016","2021-11-24 16:33:42",NULL
"10","25","1912627009","Heidi Schofield",NULL,"081234567018","2021-11-24 16:33:42",NULL
"11","26","1912627010","Tyler-James Gamble",NULL,"081234567020","2021-11-24 16:33:42",NULL
"12","27","1912627011","Tommie Fraser",NULL,"081234567022","2021-11-24 16:33:42",NULL
"13","28","1912627012","Zhane Burns",NULL,"081234567024","2021-11-24 16:33:42",NULL
"14","29","1912627013","Jess O'Doherty",NULL,"081234567026","2021-11-24 16:33:43",NULL
"15","30","1912627014","Phyllis Johns",NULL,"081234567028","2021-11-24 16:33:43",NULL
"16","31","1912627015","Bree Merritt",NULL,"081234567030","2021-11-24 16:33:43",NULL
"17","32","1912627016","Alanah Aldred",NULL,"081234567032","2021-11-24 16:33:43",NULL
"18","33","1912627017","Seth Kaufman",NULL,"081234567034","2021-11-24 16:33:43",NULL
"19","34","1912627018","Ewen Huber",NULL,"081234567036","2021-11-24 16:33:43",NULL
"20","35","1912627019","Blaine Arias",NULL,"081234567038","2021-11-24 16:33:44",NULL
"21","36","1912627020","Thierry Larsen",NULL,"081234567040","2021-11-24 16:33:44",NULL
"22","37","1912627021","Nathaniel Parker",NULL,"081234567042","2021-11-24 16:33:44",NULL
"23","38","1912627022","Geraint Rhodes",NULL,"081234567044","2021-11-24 16:33:44",NULL
"24","39","1912627023","Olly Schwartz",NULL,"081234567046","2021-11-24 16:33:45",NULL
"25","40","1912627024","Samirah Lugo",NULL,"081234567048","2021-11-24 16:33:45",NULL
"26","41","1912627025","Mekhi Rooney",NULL,"081234567050","2021-11-24 16:33:45",NULL
"27","42","1912627026","Saad Lord",NULL,"081234567052","2021-11-24 16:33:45",NULL
"28","43","1912627027","Arwa Lester",NULL,"081234567054","2021-11-24 16:33:45",NULL
"29","44","1912627028","Theon Carroll",NULL,"081234567056","2021-11-24 16:33:46",NULL
"30","45","1912627029","Maizie Lott",NULL,"081234567058","2021-11-24 16:33:46",NULL
"31","46","1912627030","Ewan Rawlings",NULL,"081234567060","2021-11-24 16:33:46",NULL
"32","47","1912627031","Shakeel Lopez",NULL,"081234567062","2021-11-24 16:33:46",NULL
"33","48","1912627032","Becky Miller",NULL,"081234567064","2021-11-24 16:33:47",NULL
"34","49","1912627033","Demi-Lee Murillo",NULL,"081234567066","2021-11-24 16:33:47",NULL
"35","50","1912627034","Shakil O'Quinn",NULL,"081234567068","2021-11-24 16:33:47",NULL
"36","51","1912627035","Tianna Velasquez",NULL,"081234567070","2021-11-24 16:33:47",NULL
"37","52","1912627036","Kamil Cowan",NULL,"081234567072","2021-11-24 16:33:47",NULL
"38","53","1912627037","Mariah Begum",NULL,"081234567074","2021-11-24 16:33:48",NULL
"39","54","1912627038","Oakley Whitaker",NULL,"081234567076","2021-11-24 16:33:48",NULL
"40","55","1912627039","Amayah Dickinson",NULL,"081234567078","2021-11-24 16:33:48",NULL
"41","56","1912627040","Tomi Kaur",NULL,"081234567080","2021-11-24 16:33:48",NULL
